№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
342,”06,432800,0,77250,9800,23713,0,0,0,0,82200,0,0,625763,1520240,935532,9964928
343,”05,411000,0,61650,9800,9776,0,18825,0,0,0,0,0,511051,1351778,831863,8316253
344,”07,433104,14000,80628,9800,9238,0,0,0,0,90423,0,0,637193,1562100,964767,10173183
346,”05,411000,33100,66615,9800,2000,0,7530,0,0,0,0,0,530045,1450747,831863,8643150
347,”04,395800,14000,61470,9800,7100,0,0,0,0,0,0,0,488170,1343646,801098,8002784
349,”07,449357,0,80966,0,3876,0,0,0,0,90423,0,0,624622,1631726,1035517,10162707
350,”07,433104,14000,80628,9800,10206,0,0,0,0,90423,0,0,638161,1562100,935532,10155564
351,”03,364200,0,54630,0,5170,0,36696,0,0,0,0,0,460696,1088957,670127,7287436
352,”06,430900,26800,80985,9800,4200,0,0,0,0,82200,0,0,634885,1593838,931511,10143969
353,”04,395800,14000,61470,15300,4200,0,8120,0,0,0,0,0,498890,1301785,801098,8089563
354,”03,364200,0,54630,30100,3876,0,10808,0,0,0,0,0,463614,1088957,670127,7322452
355,”06,426600,0,76320,9800,13227,0,0,0,0,82200,0,0,608147,1498920,922412,9719096
356,”03,364200,0,54630,9800,5170,800,0,0,0,0,0,0,434600,1088957,670127,6974284
357,”06,420500,29600,79845,9800,10000,0,0,0,0,82200,0,0,631945,1557508,904002,10044850
358,”05,411000,20600,64740,9800,7170,0,0,0,0,0,0,0,513310,1413372,831863,8404955
359,”05,411000,0,61650,9800,3876,0,41415,0,0,0,0,0,527741,1351778,831863,8516533
360,”03,364200,0,54630,0,10956,0,50841,0,0,0,0,0,480627,1088957,670127,7526608
361,”04,389200,12800,60300,9800,18118,0,178673,15400,0,0,0,0,684291,1165501,670127,10047120
362,”05,411000,0,61650,28000,7100,0,0,0,0,0,0,0,507750,1351778,831863,8276641
363,”08,462654,26800,89670,9800,11748,0,0,0,0,108350,0,0,709022,1687678,1010596,11206538
364,”06,426600,26800,80340,9800,20143,0,0,0,0,82200,0,0,645883,1602374,922412,10275382
365,”04,395800,20600,62460,9800,22786,0,29000,0,0,0,0,0,540446,1390289,801098,8676739
366,”06,426307,0,76091,9800,14521,0,0,0,0,80967,0,0,607686,1520240,935532,9748004
367,”06,432800,12800,79170,9800,4200,0,0,0,0,82200,0,0,620970,1558512,935532,9945684
368,”05,411000,16200,64080,15300,4200,0,22590,0,0,0,0,0,533370,1400216,831863,8632519
369,”07,442500,25600,83985,9800,18253,0,0,0,0,91800,0,0,671938,1635597,968617,10667470
